annotation_id,video_id,split,category,label,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,wrist,product_track_id,related_track_ids,returned
ANN_000001,21_1,validation,product_interaction,pickup,464,479,15.467,15.967,0.533,right,L5_Product_2of4,,
ANN_000002,21_1,validation,product_interaction,product_held,480,540,16.000,18.000,2.033,right,L5_Product_2of4,,true
ANN_000003,21_1,validation,product_interaction,pickup,615,692,20.500,23.067,2.600,right,L5_Product_1of4,,
ANN_000004,21_1,validation,product_interaction,product_held,693,918,23.100,30.600,7.533,right,L5_Product_1of4,,true
ANN_000005,21_1,validation,product_interaction,pickup,962,965,32.067,32.167,0.133,right,L7_Product_1of4,,
ANN_000006,21_1,validation,product_interaction,product_held,966,1870,32.200,62.333,30.167,right,L7_Product_1of4,,false
ANN_000007,21_1,validation,product_interaction,pickup,1032,1037,34.400,34.567,0.200,right,L7_Product_3of4,,
ANN_000008,21_1,validation,product_interaction,product_held,1038,1870,34.600,62.333,27.767,right,L7_Product_3of4,,false
ANN_000009,21_1,validation,product_interaction,pickup,1719,1727,57.300,57.567,0.300,right,R4_Product_2of4,,
ANN_000010,21_1,validation,product_interaction,product_held,1728,1870,57.600,62.333,4.767,right,R4_Product_2of4,,false
ANN_000011,21_1,validation,product_interaction,product_held,2382,4083,79.400,136.100,56.733,left,R4_Product_2of4,,false
ANN_000012,21_1,validation,product_interaction,pickup,2362,2381,78.733,79.367,0.667,left,R4_Product_2of4,,
ANN_000013,21_1,validation,product_interaction,pickup,2820,2840,94.000,94.667,0.700,left,R4_Product_3of4,,
ANN_000014,21_1,validation,product_interaction,product_held,2841,4083,94.700,136.100,41.433,left,R4_Product_3of4,,false
ANN_000015,21_1,validation,product_interaction,comparison,2849,2913,94.967,97.100,2.167,both,R4_Product_2of4,R4_Product_3of4,
ANN_000016,21_1,validation,product_interaction,pickup,3115,3154,103.833,105.133,1.333,right,R4_Product_1of4,,
ANN_000017,21_1,validation,product_interaction,product_held,3155,4083,105.167,136.100,30.967,right,R4_Product_1of4,,false
ANN_000018,21_1,validation,product_interaction,pickup,3553,3571,118.433,119.033,0.633,right,R4_Product_4of4,,
ANN_000019,21_1,validation,product_interaction,product_held,3572,4083,119.067,136.100,17.067,right,R4_Product_4of4,,false
ANN_000020,21_1,validation,product_interaction,pickup,3885,3900,129.500,130.000,0.533,right,R4_Product_3of4,,
ANN_000021,21_1,validation,product_interaction,product_held,3901,3976,130.033,132.533,2.533,right,R4_Product_3of4,,true
ANN_000022,21_2,validation,product_interaction,pickup,277,300,9.233,10.000,0.800,right,L3_Product_4of4,,
ANN_000023,21_2,validation,product_interaction,product_held,301,374,10.033,12.467,2.467,right,L3_Product_4of4,,true
ANN_000024,21_2,validation,product_interaction,pickup,542,552,18.067,18.400,0.367,right,L4_Product_3of4,,
ANN_000025,21_2,validation,product_interaction,product_held,553,1998,18.433,66.600,48.200,right,L3_Product_3of4,,false
ANN_000026,21_2,validation,product_interaction,pickup,916,929,30.533,30.967,0.467,left,R4_Product_1of4,,
ANN_000027,21_2,validation,product_interaction,product_held,930,1998,31.000,66.600,35.633,left,R4_Product_1of4,,false
ANN_000028,21_2,validation,product_interaction,pickup,1172,1198,39.067,39.933,0.900,left,R2_Product_3of3,,true
ANN_000029,21_2,validation,product_interaction,pickup,1335,1358,44.500,45.267,0.800,left,R4_Product_3of4,,
ANN_000030,21_2,validation,product_interaction,product_held,1359,1998,45.300,66.600,21.333,left,R4_Product_3of4,,false
ANN_000031,21_2,validation,product_interaction,pickup,2226,2250,74.200,75.000,0.833,right,L7_Product_4of4,,
ANN_000032,21_2,validation,product_interaction,product_held,2251,2301,75.033,76.700,1.700,right,L7_Product_4of4,,true
ANN_000033,21_2,validation,product_interaction,pickup,2319,2330,77.300,77.667,0.400,right,L7_Product_3of4,,
ANN_000034,21_2,validation,product_interaction,return,2279,2301,75.967,76.700,0.767,right,L7_Product_4of4,,true
ANN_000035,21_2,validation,product_interaction,return,351,374,11.700,12.467,0.800,right,L3_Product_4of4,,true
ANN_000036,21_1,validation,product_interaction,return,529,540,17.633,18.000,0.400,right,L5_Product_2of4,,true
ANN_000037,21_1,validation,product_interaction,return,901,918,30.033,30.600,0.600,right,L5_Product_1of4,,true
ANN_000038,21_1,validation,product_interaction,return,3960,3976,132.000,132.533,0.567,right,R4_Product_3of4,,true
ANN_000039,21_2,validation,product_interaction,product_held,2331,2387,77.700,79.567,1.900,right,L7_Product_3of4,,true
ANN_000040,21_2,validation,product_interaction,return,2371,2387,79.033,79.567,0.567,right,L7_Product_3of4,,true
ANN_000041,21_2,validation,product_interaction,product_held,2419,2574,80.633,85.800,5.200,right,L7_Product_2of4,,true
ANN_000042,21_2,validation,product_interaction,pickup,2409,2418,80.300,80.600,0.333,right,L7_Product_2of4,,
ANN_000043,21_2,validation,product_interaction,return,2560,2574,85.333,85.800,0.500,right,L7_Product_2of4,,true
ANN_000044,21_2,validation,product_interaction,pickup,2794,2801,93.133,93.367,0.267,right,L7_Product_3of4,,
ANN_000045,21_2,validation,product_interaction,product_held,2802,4043,93.400,134.767,41.400,right,L7_Product_3of4,,false
ANN_000046,21_2,validation,product_interaction,pickup,3180,3212,106.000,107.067,1.100,right,R1_Product_4of4,,
ANN_000047,21_2,validation,product_interaction,product_held,3213,4043,107.100,134.767,27.700,right,R1_Product_4of4,,false
